Principal Business Activities Code,Business Activity Names
445110,Supermarkets and Other Grocery Stores
452319,All Other General Merchandise Stores
541940,Veterinary Services
621210,Offices of Dentists
624410,Child Day Care Services
236118,Residential Remodelers
230000,Construction
237110,Water and Sewer Line and Related Structures Construction
237120,Oil and Gas Pipeline and Related Structures Construction
238150,Glass and Glazing Contractors
238160,Roofing Contractors
238170,Siding Contractors
238210,Electrical Contractors and Other Wiring Installation Contractors
238220,Plumbing, Heating, and Air-Conditioning Contractors
238310,Drywall and Insulation Contractors
238320,Painting and Wall Covering Contractors
238330,Flooring Contractors
722511,Full-Service Restaurants
722410,Drinking Places (Alcoholic Beverages)
484121,General Freight Trucking, Long-Distance
493110,General Warehousing and Storage
531110,Lessors of Residential Buildings and Dwellings
532120,Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing
531390,Other Activities Related to Real Estate
524210,Insurance Agencies and Brokerages
522110,Commercial Banking
812112,Beauty Salons
812320,Drycleaning and Laundry Services (except Coin-Operated)
711510,Independent Artists, Writers, and Performers
713940,Fitness and Recreational Sports Centers
561730,Landscaping Services
561720,Janitorial Services
441100,Automobile dealers
562000,Waste management and remediation services (sanitary services)
541200,Accounting, tax preparation, bookkeeping, and payroll services
541100,Legal services